SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT6
1,1,2,25,0,0,0,0,2,0,45781,48139,51137,39450,2504,4007,5056,74,2566
1,3,1,46,0,0,0,0,0,0,15392,16099,16418,16765,1561,1268,587,611,2000
2,2,2,26,1,2,2,0,0,0,51486,48869,30115,29527,1710,136,1206,2002,3003
1,2,2,28,0,0,0,0,0,0,29507,29155,25255,22001,5006,1244,851,955,0
2,2,2,26,0,0,0,0,0,0,105246,104781,105334,107699,5366,5087,3605,3894,3304
2,1,2,28,0,0,0,0,-1,0,47779,28052,7222,99669,7042,2000,1000,99669,10000
2,2,2,29,-1,0,-1,-1,-1,-1,3719,1453,4944,1896,3127,1469,4968,1905,862
1,2,1,25,0,0,0,0,0,0,28513,29341,29928,29533,1565,1393,980,994,886
2,2,1,48,0,-1,-1,-1,-1,-1,1233,862,1355,1130,1233,1075,1355,1130,1347
2,2,1,33,-1,-1,-1,-1,0,-1,2453,9624,52572,7333,2453,9880,52572,1546,0
2,3,1,43,0,0,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
1,1,1,48,2,0,0,0,0,0,213522,201852,169115,172169,10000,9020,6000,5500,5500
2,1,2,29,0,0,0,0,0,0,99414,107686,103776,87265,40010,20094,5000,5001,65000
1,2,2,29,0,0,0,0,0,0,35100,32563,27823,29130,1602,1400,3000,3130,6318
2,1,1,38,-1,-1,-1,-1,2,-1,4664,5969,18941,16578,4664,5969,18941,0,1916
2,1,2,37,-2,-2,-2,-2,-2,-2,50815,0,0,299,51315,0,0,299,0
2,1,2,37,-1,-1,-1,-1,-1,-1,249,5986,188,1644,258,5995,188,1644,4000
2,2,1,25,-1,-1,-2,-1,-1,-1,0,0,316,316,0,0,316,316,316
1,3,2,23,0,0,0,0,0,2,7838,9002,9182,9729,1134,1298,478,847,175
2,3,2,49,0,0,0,0,0,0,91362,72197,49654,28065,4100,3095,1630,561,0
2,1,2,48,0,0,0,0,0,0,34449,33634,34586,34762,1600,1600,1500,1500,1500
1,2,2,27,3,2,2,0,0,-1,14880,14242,13968,14319,1700,0,426,501,1390
1,3,2,32,0,0,0,0,0,0,31545,20974,19713,19848,2035,2004,616,2007,2015
1,1,1,34,-1,2,-1,0,0,0,632,1350,900,450,0,1350,0,0,450
2,1,2,58,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,2,2,33,0,0,0,0,0,0,12852,14024,14512,16325,2000,1322,2000,2000,3000
2,2,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,2,2,36,0,0,0,0,0,0,69120,68376,30163,14310,4483,12496,3268,3000,2000
1,1,1,40,2,-1,-1,-1,-1,-1,2715,-13,2641,-10,2728,0,2654,0,0
2,1,2,26,-1,-1,-1,-1,-1,-1,316,316,316,316,316,316,316,316,316
1,3,1,33,0,0,0,0,0,0,50462,50654,20046,20067,2007,2199,691,707,697
2,2,1,31,0,0,0,0,0,0,102594,97109,99029,100871,4000,4500,5000,4000,4400
2,1,2,27,0,0,-1,0,0,-2,2458,664,1814,0,1000,664,1500,0,0
1,2,1,44,0,0,0,0,-1,-1,109189,92630,69669,44149,10063,5162,10150,44299,31031
2,3,2,30,0,0,0,0,0,0,153152,147032,122196,103692,7722,6091,3563,3605,3211
2,1,2,28,0,0,0,0,0,0,52656,52600,52336,55831,4173,3000,2025,5000,3000
2,3,1,32,0,0,0,0,0,0,88743,92195,94814,98182,5000,5000,5000,5000,5000
2,1,1,46,-1,-1,-1,-1,-1,-1,41986,21874,20076,16171,41986,21874,20076,16171,19777
1,1,2,38,2,0,0,0,0,0,62804,62769,62683,63663,3276,2026,2000,2000,2502
2,2,1,46,0,0,0,0,0,0,181557,149944,113135,105280,8610,6907,3727,3800,2701
2,2,2,25,2,0,0,0,0,0,71678,70125,69856,69718,3472,2092,2000,2127,1559
2,2,1,46,0,0,0,0,0,0,9900,10605,10765,11765,1295,1000,1000,1000,1000
1,1,2,33,-1,-1,-1,-1,-1,-1,898,325,898,325,898,325,898,325,345293
2,2,2,22,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
1,2,1,43,3,2,2,2,2,2,2610,1914,2182,2000,1100,0,300,0,0
1,2,2,27,0,0,2,0,0,0,10227,9560,9901,9963,3507,0,500,370,700
1,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1500
1,1,2,31,0,0,0,0,0,0,197344,186292,133345,133634,9000,7465,4715,4804,5300
2,2,1,29,-1,-1,-1,-1,-1,-1,657,2179,1423,0,657,2319,1423,0,2496
2,2,1,36,0,0,0,0,0,0,142996,144415,148190,147993,6483,5082,6000,5900,4700
2,1,1,36,0,0,0,0,0,0,60788,63225,29701,30172,2755,3463,1300,1100,2000
1,1,2,34,1,-2,-1,0,-1,-1,0,13001,12601,19595,0,13001,0,19595,0
1,2,2,37,0,0,0,0,0,0,98222,67185,66926,66796,3490,2332,2314,2365,2305
2,1,2,36,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,3,1,40,0,0,0,0,0,0,51213,12104,12898,13687,2400,1206,1000,1000,1000
2,1,2,25,0,0,2,0,0,0,14564,27820,15824,15761,2800,0,4000,1700,2000
2,1,2,27,-1,-1,-1,0,0,0,665,960,4242,4084,665,960,3908,1014,2880
2,2,2,26,-2,-2,-2,-2,-2,-2,3220,5704,1256,1848,3220,5904,0,3000,0
2,2,1,36,-1,-1,-1,-1,-1,-1,23956,0,8500,4590,23962,0,8500,4590,0
2,2,1,27,1,-1,-1,-2,-2,-2,5215,0,0,0,5215,0,0,0,0
1,3,1,55,2,2,2,3,3,4,10613,11339,12841,13836,1200,1200,2000,1500,1500
2,1,2,27,-1,-1,-1,-1,-1,-1,13801,14366,4889,273,13809,14583,4889,273,0
2,2,1,38,-1,0,-1,-1,0,-1,3600,1354,5322,5103,1000,1354,5322,6,9085
2,2,1,34,0,0,0,0,0,0,146333,147042,127814,130331,7000,5000,5000,4900,5100
1,1,2,40,0,0,0,2,0,0,13738,16567,10411,13057,3000,3100,0,3000,0
2,3,1,49,-1,2,2,2,0,0,51040,56205,54723,58657,0,6000,0,5000,3000
1,1,2,27,0,0,0,0,0,0,52557,33415,28776,17580,1631,1286,200,645,200
1,2,2,23,0,0,0,0,0,0,33282,34312,17277,17808,1970,2000,618,809,616
2,2,2,36,0,0,0,0,0,0,48947,50330,50894,52175,2200,2500,2000,2100,2200
2,3,1,53,1,-1,-1,-2,-2,-1,165,526,452,397,165,526,452,397,459
2,3,1,46,3,2,2,0,0,0,50955,29516,29742,29898,3754,1,1070,1030,654
1,2,2,29,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0
1,2,2,29,1,2,2,0,0,0,56598,51908,48647,47862,2500,0,2000,2000,2000
2,1,2,27,0,0,0,0,0,0,180140,166281,155628,145645,21105,5461,5000,5849,50000
1,2,2,24,-1,0,0,0,0,0,2441,3865,7476,8384,1070,1500,3666,2477,1000
2,2,1,28,0,0,0,-2,-1,-1,18826,1100,2100,767,1710,1100,1000,767,1000
2,2,2,32,0,0,0,0,0,0,94054,91834,95631,100123,10000,7000,10000,10000,10000
1,2,2,43,1,-2,-1,0,0,0,0,38013,40555,45075,0,38013,3000,5000,3000
2,2,1,41,-1,2,2,-1,2,-1,650,325,950,475,325,0,950,0,325
2,2,1,34,2,2,2,2,2,0,27976,27233,30184,29566,3800,0,3720,0,1291
1,2,1,55,-2,-1,-1,-2,-2,-2,44665,8300,2190,24599,44665,8321,2190,24599,77195
1,1,1,40,2,2,2,2,2,2,102586,100064,104975,107147,5200,0,8100,4000,4200
2,2,1,37,1,-1,2,-1,-1,-1,505,189,6773,23209,1000,0,6900,24000,2500
2,2,2,40,0,0,2,0,0,0,12394,11883,9826,10167,3000,0,500,500,500
2,1,2,28,1,2,0,0,0,0,10232,11237,11427,20973,0,1483,673,10000,7000
2,2,1,43,1,-2,-2,-2,-1,-1,0,0,0,1600,0,0,0,1600,0
1,1,2,27,0,0,0,0,0,0,19089,19658,19453,19108,1323,1600,830,700,376
2,1,2,28,0,0,0,0,0,0,146943,151905,153538,156664,5795,7408,5645,5753,5865
2,1,2,30,0,0,0,0,0,0,160246,159988,158114,158762,10000,8000,6000,7000,6000
2,2,2,31,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,2,1,31,0,0,0,0,0,0,47716,49675,30929,30078,1974,4406,1061,1073,1047
2,1,2,34,-1,-1,0,-1,-1,-1,6531,6313,1100,1330,6900,5037,1100,1330,2037
2,2,2,30,-2,-2,-2,-2,-2,-2,92,92,0,92,92,92,0,92,1883
1,2,2,36,0,0,0,0,-1,0,6172,4123,680,978,1212,1200,0,978,0
2,1,2,29,-1,2,-1,-1,-1,2,183,4847,20183,24815,0,4872,20183,5000,1000
1,1,1,39,0,0,-1,0,0,-1,281713,242063,122295,-1005,11000,145000,26000,0,1898
2,1,2,26,0,0,0,0,0,0,138232,130553,105894,108248,5440,5051,3835,4106,4028
2,1,2,29,-1,-1,-2,-1,0,0,-707,-2697,2303,6182,0,0,5000,5000,13000
2,2,2,26,-1,-1,-1,0,0,0,4192,4159,3542,1980,4210,4159,1000,1080,1525
2,2,2,29,0,0,0,0,0,0,49316,50409,45545,39963,3000,2000,2000,2000,2000
2,2,2,31,0,0,0,0,0,0,137950,140254,139679,141748,6600,6500,5100,5300,5000
2,2,2,26,0,0,0,0,0,0,19012,20123,20222,20796,1411,1522,621,795,1000
1,1,2,26,0,0,-1,0,0,-1,20473,1940,1940,0,1541,4200,0,0,3000
1,1,1,36,1,-2,-1,-1,-2,-1,-13543,3432,-3684,0,10118,47015,0,4000,10000
1,1,2,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,2,2,43,0,0,0,0,0,0,78102,58501,51042,19036,3177,2600,3000,1691,882
1,3,1,58,2,2,2,0,0,2,18720,18122,18530,19089,3400,0,1000,1001,638
1,2,1,45,-1,0,0,0,0,0,28422,29650,29981,30419,1481,2000,1100,1200,1500
2,2,2,26,0,0,0,0,0,0,128940,124226,113133,113966,6349,5834,3870,4000,3520
1,2,2,34,0,0,0,0,0,0,179206,193992,174675,171253,9010,35000,5000,6000,4400
2,4,2,24,0,0,0,0,0,0,77431,79044,80631,82333,3000,2900,2900,3000,4000
1,1,1,34,-1,-1,-1,-1,-1,-1,291,51058,2351,34039,291,51058,35696,34039,291
2,2,2,23,4,3,2,0,0,0,509229,499936,505507,484612,10000,0,14000,16500,19000
2,2,2,30,0,0,0,0,0,0,71151,72029,72849,74374,2589,2568,2570,2661,2500
1,2,2,32,4,3,2,0,0,0,44741,43562,44039,45008,0,0,1262,1358,1590
1,1,1,40,1,-2,-1,0,-1,-1,0,2066,2000,216,0,2066,0,216,66
2,1,2,35,-2,-2,-2,-2,-2,-2,300,399,665,576,300,399,665,576,520
2,2,1,56,1,-1,-1,-2,-1,-1,1520,1488,0,3965,1529,1507,0,3965,384
2,2,1,61,0,0,0,0,0,0,49396,50476,23319,23171,3000,2237,975,1000,1039
1,2,2,24,-1,2,2,2,0,0,1923,2989,2813,2008,0,1500,0,0,0
1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,2,1,32,3,2,0,0,0,0,20010,19703,11084,10918,0,1168,384,390,616
1,2,1,36,2,2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
1,1,2,30,-1,-1,-1,-1,-1,-1,2977,15086,8578,13028,2977,15086,9123,13028,50000
2,1,2,34,0,0,0,2,2,2,35089,43449,42451,49718,1640,9000,0,8000,2000
1,3,3,54,0,0,0,0,0,0,22298,22352,23221,24339,2500,2000,1500,4000,0
1,1,1,46,0,0,0,0,0,0,174590,175233,106288,28089,8100,5299,3305,5040,7000
1,3,1,58,0,0,0,0,0,0,20168,21229,21495,21800,1640,1700,915,800,1961
1,2,1,43,1,2,0,0,0,2,19901,20905,21509,25183,0,1342,946,4200,1000
2,1,2,28,-1,0,0,-1,-1,-1,14446,7609,4991,3400,14000,3855,4991,3600,4000
1,1,2,30,0,0,0,0,0,0,71906,43308,44584,47842,3500,3000,2000,4000,10000
1,2,2,31,0,0,0,0,0,0,15129,15093,9577,11139,2000,3000,327,3000,5000
2,2,2,29,0,0,0,0,0,0,90780,70947,72367,73875,4200,2575,2600,2674,5750
2,2,1,37,2,2,2,0,0,0,3200,3381,3559,1948,1500,400,200,500,400
1,3,1,36,0,0,0,0,0,0,78372,91502,90859,88616,3000,30000,4000,4000,3300
2,2,2,28,-1,0,0,2,0,0,3848,5646,5464,5577,1105,1903,0,296,95
1,2,2,25,0,0,0,0,0,-2,31429,27923,25280,0,10010,1209,579,0,6305
2,5,1,42,0,0,0,0,0,0,342904,344464,240865,234939,15000,14000,9000,8500,8300
2,1,2,29,1,-1,-1,-2,-2,-2,80000,0,0,0,80000,0,0,0,0
1,3,1,73,-1,0,0,2,2,2,65631,68875,70646,72870,3500,4330,3500,3500,5100
1,2,1,43,0,0,0,0,0,0,154049,156523,159653,162866,7900,6500,5700,5700,5334
1,1,1,30,-1,-1,-1,0,0,-1,291,582,291,0,291,582,0,0,651
1,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,2,1,39,1,-1,0,0,0,0,35918,37297,37154,32581,38621,2000,1130,922,5000
1,2,1,44,0,0,0,0,0,0,91989,87720,76218,72090,4400,4013,3011,3000,2653
2,2,2,29,0,0,0,0,0,0,17102,18862,19996,21214,3000,3000,3000,3500,2000
1,1,1,51,-1,-1,-1,-2,-2,-2,25000,0,0,0,25000,0,0,0,0
2,1,2,27,0,0,0,0,0,0,144105,143952,142590,142650,10000,10000,6000,6000,5600
1,1,2,38,0,0,0,0,0,0,42653,42351,43011,43011,2502,1200,860,0,0
2,2,2,22,-2,-2,-2,-2,-2,-2,0,0,848,0,0,0,848,0,0
2,2,1,30,0,0,0,0,0,0,106134,108423,91143,82733,4002,5000,3500,3000,5000
2,2,2,25,2,2,2,2,2,2,120822,109887,116313,119311,4007,0,8272,5000,4400
1,1,2,29,0,0,0,0,0,-1,132280,99174,65372,28797,5233,3289,2072,3018,6100
2,3,3,42,0,0,0,0,0,0,29091,28097,28665,28768,1488,1394,962,1500,2000
1,1,2,41,-1,-1,-1,-1,-1,2,2084,384,0,2344,2091,384,0,2344,472
1,2,1,48,0,0,0,0,0,0,28870,27806,25142,25667,1774,1710,1046,1079,2244
2,1,2,29,2,2,2,2,2,2,163916,159676,166893,170098,7500,0,11558,5800,5654
1,1,1,52,-2,-2,-2,-2,-2,-2,2690,3410,0,0,2690,3487,0,0,396
2,2,1,25,0,0,0,-2,-2,-2,21393,0,0,0,6000,0,0,0,0
1,1,1,37,1,2,0,0,0,0,491956,430637,376657,356636,325,15296,12137,12312,10526
2,1,2,27,0,0,0,0,0,0,62893,59001,61565,59508,11404,8232,10450,9697,11341
1,1,2,31,0,0,0,0,0,0,175646,180650,182672,168399,10000,8000,6371,6217,6288
2,1,2,23,1,2,2,2,2,2,28577,30805,31601,32349,0,2709,1600,1400,1200
2,1,1,38,-1,-1,-2,-1,-1,-2,0,0,367,-150,0,0,367,150,0
2,1,1,32,1,-2,-1,-1,-1,-1,0,2809,4595,792,0,2809,4606,792,0
2,2,2,27,1,2,0,0,0,0,12647,13135,10596,9218,0,1064,423,313,4641
2,3,1,41,-2,-2,-2,-2,-2,-2,26665,199960,9033,19371,26734,199982,9033,19371,2000
2,3,1,35,-1,-1,-1,-2,-2,-2,5000,0,0,0,5000,0,0,0,640
2,1,2,31,-2,-2,-2,-2,-2,-2,14845,1097,0,0,17507,1102,0,0,1103
2,1,2,30,0,0,0,0,0,2,16262,17286,17895,19450,2000,1600,1200,2000,1000
1,2,1,48,0,0,0,0,0,0,43048,35639,18753,19091,3629,3332,2000,2000,2500
2,1,2,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
1,1,2,24,2,0,0,0,0,2,26354,27710,27959,30002,1500,1800,1007,2500,1800
2,1,2,29,0,0,0,0,0,0,167199,158520,156977,157963,8071,9021,7013,6013,6010
2,2,2,38,-1,-1,-1,-1,-1,-1,2795,1350,371,2980,2795,1350,371,2980,2213
1,2,1,38,2,2,2,0,0,0,105924,102663,97090,98045,4500,0,3500,3500,0
2,2,1,30,0,0,0,0,0,0,197967,201666,205798,196698,10000,7143,7306,6303,6000
2,2,1,32,-1,-1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,3,2,49,2,2,2,2,0,0,12081,13087,12583,15327,3000,1500,0,3123,1000
2,1,2,31,-1,-1,-1,-1,0,-1,199,199,398,199,199,199,398,0,398
1,1,2,27,0,0,0,0,0,0,68536,66601,29401,28949,3600,1646,600,28468,1000
2,2,2,33,0,0,0,0,0,0,177946,119362,117766,68791,6000,4500,5000,3000,3000
2,2,2,25,0,0,0,0,0,0,71732,73241,74424,76070,3200,3300,3000,3001,3100
2,1,2,27,0,0,0,0,0,0,299998,300426,292869,292885,13007,10612,10041,11000,7000
2,1,2,29,0,0,0,0,0,0,49537,50422,50990,52014,2500,2500,2000,2000,2500
2,1,1,36,0,0,0,0,0,0,162189,166127,169365,168755,6422,6565,5951,6006,5946
1,3,1,55,0,0,-1,-1,-1,-2,8485,17231,1770,0,6015,17454,1775,0,0
2,2,1,32,1,2,2,2,2,2,233036,229286,217644,223690,10000,8000,0,16000,0
2,1,2,27,-1,-1,-2,-1,2,-1,0,0,300,150,0,0,300,0,200
1,3,1,37,0,0,0,0,0,0,62499,62162,60605,60272,2300,2200,2300,2200,2300
2,1,1,25,0,0,0,0,0,0,50231,46677,44982,21399,2500,3008,1000,761,704
2,1,2,23,0,0,0,0,0,0,73281,57806,37642,46235,3212,1600,956,40000,1700
1,2,2,23,-1,-1,-1,-1,0,0,350,400,1695,12645,350,400,1695,11300,2400
1,1,2,32,0,0,0,0,2,2,85586,87289,91451,93381,4000,4037,6500,3500,3200
2,1,2,26,1,-2,-1,-1,-1,-1,0,945,0,197,0,945,0,197,0
2,1,2,27,0,0,0,0,0,0,124653,126355,114881,117213,5704,5930,4000,4003,4400
1,1,2,44,0,0,0,0,0,0,231443,234557,200643,194410,12026,9010,7400,8000,7000
1,2,2,34,0,0,0,0,0,0,33304,29254,24875,20329,1600,1500,1100,1000,500
2,1,2,28,0,0,0,0,0,0,107604,89902,90983,82255,4500,4400,3000,2400,2500
2,1,1,53,-1,-1,-1,0,0,-1,1260,29366,5400,0,1260,29366,54,0,0
1,4,1,42,0,0,0,0,0,0,38246,32253,30384,30900,5000,1485,1956,1500,2102
2,3,1,30,0,0,0,2,0,0,98007,82227,65000,60848,4505,12906,0,2210,5200
1,1,1,51,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
1,1,1,53,2,2,0,0,0,0,458862,469703,447130,440982,0,18000,16000,16000,20000
1,2,2,37,0,0,0,-1,0,0,262736,36638,122388,127402,14000,5022,130000,7000,6000
2,1,2,26,0,0,-2,-2,-2,-2,179,1443,1443,1443,179,1443,1443,1443,2015
1,2,2,42,0,0,0,0,0,0,28202,78553,49340,48919,2500,51432,1800,1800,1700
1,2,2,39,0,0,0,0,0,-1,36549,17431,15031,10600,2027,1207,301,212,4987
1,3,2,39,1,2,2,2,2,2,69329,74175,72383,77217,0,6000,0,6000,6000
1,1,2,32,-1,0,0,0,0,-2,24131,25326,25775,0,1800,1900,1300,0,0
2,2,1,41,-1,-1,-1,-1,-1,-1,18163,5473,8162,6985,18163,5654,12887,6985,6554
1,2,1,48,0,0,0,0,0,-1,39883,32017,17630,9730,2100,1217,500,0,4590
2,2,1,38,0,0,0,0,0,0,151651,159019,123022,126075,5657,10372,5000,5000,5000
2,2,1,36,-1,-1,-1,-1,-1,-1,8638,5702,2980,1260,8638,5723,2980,1260,2198
2,2,2,26,0,0,0,-1,-1,0,99860,100000,3015,23473,80000,3000,3015,23473,4900
2,1,2,28,0,0,0,0,0,0,131255,110503,99283,97599,120093,8034,3013,4010,3000
2,3,3,56,1,-2,-1,-1,-2,-1,0,1991,0,0,0,1991,0,0,614
1,1,1,59,-1,0,0,0,0,0,206331,203813,201331,198999,7536,7277,7100,7120,6945
1,1,2,38,0,0,0,0,0,0,211043,212759,218541,167743,8909,7500,9000,6729,7009
1,2,2,32,0,0,0,0,0,0,28006,25000,22046,19860,1610,1224,655,627,500
1,2,1,38,0,0,0,-1,0,0,49677,49515,42568,48268,10026,7241,50091,25000,2132
2,1,1,41,-1,-1,-1,-1,-1,-1,3274,6190,307,2870,3276,6246,307,2870,1362
2,3,2,35,0,0,0,0,0,0,363325,373181,252195,257496,13802,16525,8893,9229,9435
2,2,2,41,0,0,0,0,0,0,372700,375948,195991,152127,14020,13595,6243,6007,6012
1,2,1,34,-1,-1,-1,-1,-1,-1,2790,1140,2144,1180,2790,1140,2144,1180,2440
1,3,1,38,1,2,2,0,0,2,30321,31018,32193,34213,1800,1500,2000,2700,0
2,2,1,32,-1,-1,-1,-1,-1,-1,2682,0,6440,0,2682,0,6440,0,5120
2,2,2,29,0,0,0,0,0,0,28358,28937,29614,30391,1900,1400,1000,1100,420
1,1,2,44,0,0,0,0,0,0,28527,29241,28513,29106,1800,1500,1200,1203,1000
2,2,1,37,0,0,0,2,0,0,68200,72972,71248,50610,2518,5950,0,1782,2700
2,1,1,38,-1,2,-1,-1,-1,0,300,501,300,600,0,501,300,600,600
1,1,2,31,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
2,2,1,40,0,0,0,0,-1,2,137101,90801,0,1069,120041,4435,0,1069,67619
1,2,2,26,0,0,2,2,2,2,146193,140202,144035,140419,17000,0,11400,550,5400
2,2,2,28,0,0,0,0,-1,2,41799,37887,37876,6736,2112,1200,758,6736,0
1,3,1,48,1,2,2,2,2,2,73317,71334,67009,63228,1700,4000,1600,1600,4086
2,2,1,43,-1,-1,-1,-1,-1,-1,1709,574,556,2306,1709,574,556,2306,2111
1,2,1,31,0,0,0,0,0,0,180633,172914,130139,115494,7600,6303,4137,3502,3517
2,1,1,42,-1,-1,-1,-1,-1,-1,15111,13165,0,10500,15111,13165,0,10500,0
1,2,1,39,0,0,0,0,0,0,91523,91579,91193,92837,3317,3506,4218,5000,938
2,2,1,36,-1,-1,-1,0,-1,-1,1648,792,396,396,1648,792,0,396,792
2,1,1,34,-1,-1,-1,-1,-1,-1,6088,4663,3885,4414,6277,4663,4140,4414,7725
2,2,2,32,-2,-2,-2,-2,-2,-2,0,0,0,0,157,0,0,0,0
2,2,1,43,2,2,2,2,2,0,26622,24022,24368,20859,1300,2,1608,0,800
1,2,2,30,0,0,0,2,0,0,100980,222102,108724,68500,4000,11900,207,2003,2003
2,2,2,28,0,0,-1,-1,-2,-2,17616,308,0,0,4000,308,0,0,0
2,1,1,28,0,0,0,0,0,0,9434,10038,10040,10400,1203,1047,248,408,276
1,1,1,41,-1,-1,-1,-1,-1,-1,672,226,390,220,1000,390,1000,220,1000
2,3,2,47,0,0,0,0,0,0,202961,194449,196814,200526,7521,7000,7000,7128,7100
1,2,2,23,0,0,2,0,0,0,20417,18333,18848,30190,7403,0,820,1025,104
2,1,1,49,-1,-1,-2,-1,-1,-1,0,0,120,-6,0,0,120,6,0
1,1,1,38,0,0,0,2,2,0,17272,20565,20705,20255,1623,3916,750,0,850
