LIMIT_BAL,BILL_AMT1,BILL_AMT6,PAY_AMT5
20000,3913,0,0
120000,2682,3261,0
90000,29239,15549,1000
50000,46990,29547,1069
50000,8617,19131,689
50000,64400,20024,1000
500000,367965,473944,13750
100000,11876,567,1687
140000,11285,3719,1000
20000,0,13912,1122
200000,11073,3731,3738
260000,12261,13668,0
630000,12137,2870,2870
70000,65802,36894,1500
250000,70887,55512,3000
50000,50614,30211,1300
20000,15376,19104,1650
320000,253286,195599,195599
360000,0,0,0
180000,0,0,0
130000,38358,930,930
120000,316,316,316
70000,41087,46012,0
450000,5512,0,0
90000,4744,8292,2045
50000,47620,30046,1062
60000,-109,-189,0
50000,22541,19617,1000
50000,650,257,257
50000,15329,11400,1600
230000,16646,36923,37292
50000,30518,23680,1000
100000,93036,75589,3200
500000,10929,8981,981
500000,13709,5293,5293
160000,30265,-1884,792
280000,186503,177413,6400
60000,15054,18660,47671
50000,0,0,0
280000,498,9477,9525
360000,218668,179224,28000
70000,67521,65970,2800
10000,1877,4451,1000
140000,59504,69802,4000
40000,18927,29197,3000
210000,0,0,0
20000,14028,0,0
150000,4463,0,0
380000,22401,11873,11875
20000,17447,20063,912
70000,37042,39362,1500
100000,61559,33258,1500
310000,13465,464,464
180000,41402,45319,1790
150000,46224,16540,2000
500000,1905,2530,2530
180000,16386,8321,9000
180000,175886,129918,4816
200000,1587,1414,1200
400000,400134,364089,12000
500000,22848,15571,2000
70000,70800,830,3000
50000,24987,28264,1200
50000,28718,0,0
130000,99,0,0
200000,152519,7918,0
10000,2097,4326,200
210000,300,4250,4250
130000,-190,7319,7319
20000,18565,5982,1000
80000,780,390,390
320000,58267,63526,2400
200000,9076,3151,3165
290000,0,0,0
340000,3048,25820,25949
20000,14619,18543,1500
50000,42838,10030,1000
300000,291,291,291
30000,28387,6411,1765
240000,0,0,0
470000,165254,29889,1000
360000,23411,196,196
60000,26324,19771,1140
400000,131595,94058,3200
50000,48909,19482,849
160000,130028,120418,4800
360000,390,390,390
160000,3826,766,766
130000,81313,1190,1190
20000,8583,11970,0
200000,138180,149531,5000
280000,7524,0,0
100000,-2000,0,0
160000,880,0,0
60000,45648,19323,816
90000,83725,30835,1104
360000,3967,9956,0
150000,86009,40788,1698
50000,18722,7899,321
20000,17973,150,150
140000,672,1430,1430
380000,-81,34056,1250
480000,422069,469961,18000
50000,44698,24094,995
60000,56685,55305,3000
70000,5580,26529,26529
80000,6108,1150,1150
350000,713,5263,5263
130000,171438,126568,133841
360000,-103,-103,0
330000,105879,107289,15794
50000,13244,17393,1000
280000,135673,149415,0
100000,52128,59713,3000
50000,19015,19957,724
30000,18199,21201,1000
240000,326,326,326
80000,14029,18186,1000
400000,19660,7959,7959
240000,50254,1203,1203
50000,46004,51143,2800
450000,0,0,0
110000,0,0,0
310000,304991,198889,6833
20000,19115,15630,313
20000,0,0,0
200000,110151,104993,3669
180000,163736,95927,2217
50000,3347,7077,1200
60000,60521,26547,1100
30000,4000,5906,5911
240000,95,1737,1737
420000,253454,188108,7253
330000,227389,228203,8391
30000,28452,-780,0
240000,10674,13891,0
150000,17444,30229,3500
210000,7166,5708,2000
50000,752,0,0
50000,50801,18995,870
240000,0,0,0
180000,1832,416,3500
50000,10131,18065,800
170000,12159,15846,15863
20000,1199,339,339
50000,4999,10138,1100
170000,19269,9100,182
200000,197236,59875,5000
80000,9168,12034,2091
260000,-1100,869,1000
140000,86627,55251,2100
80000,42444,31826,2000
350000,208,0,0
280000,208775,169311,7000
30000,9014,14206,1500
140000,23944,48699,3000
200000,105420,94031,3560
200000,196031,122324,5000
210000,115785,154105,11678
50000,12854,14083,600
30000,24357,28321,1200
50000,390,540,0
290000,1234,423,423
250000,141223,160220,6811
60000,21148,27756,1500
110000,101640,77254,3000
370000,6093,13453,13453
100000,102349,-246,12
90000,72112,88290,4000
50000,28040,28806,1277
270000,37695,24641,3000
300000,688,800,800
50000,8567,7725,5000
50000,-709,-3272,0
360000,0,0,0
130000,64617,71345,0
80000,6187,5380,3500
50000,48860,22361,0
20000,16001,14906,1500
80000,77883,11486,1000
240000,12212,1256,1256
80000,49608,17460,3000
500000,56422,70064,52183
60000,58024,19395,737
20000,10642,1620,1824
100000,14483,16448,1000
360000,2616,16240,16250
200000,199436,189915,0
130000,0,14636,1000
20000,21703,20487,760
310000,59901,43328,5060
60000,19625,22873,900
180000,11386,17042,341
180000,14670,0,0
50000,47790,658,1000
50000,36166,40035,1600
150000,0,1500,1500
20000,18553,19247,693
500000,412,1151,1151
30000,29010,0,0
180000,750,0,0
140000,27123,10833,0
140000,13424,487,487
120000,107314,122135,5000
360000,226430,146511,5600
20000,227,19337,3457
100000,390,0,0
210000,3088,0,0
80000,81625,49568,1800
330000,8872,1709,1709
220000,105607,85632,85632
210000,0,1222,1222
40000,38257,31339,1500
30000,28347,8032,2000
470000,296573,309959,10838
30000,390,780,0
240000,-946,-946,0
80000,79278,78245,3500
110000,89989,63208,3000
310000,1424,0,0
360000,105167,120238,4500
330000,335196,330121,12213
300000,291619,212508,9557
320000,91653,33263,5045
50000,52626,29957,1201
170000,130370,128839,4877
350000,3265,0,0
20000,16455,19175,834
50000,49758,18858,707
20000,19154,0,0
50000,35084,1308,1011
20000,20235,10104,1000
50000,102800,46557,1747
190000,129801,150052,12118
60000,58203,19421,811
80000,7988,19942,19942
150000,127402,29497,1077
210000,1440,2293,2293
240000,234205,214694,8009
140000,19346,16383,3000
60000,21501,2285,2285
50000,47174,15874,2000
50000,26655,29399,1200
180000,3139,0,0
30000,142,79,60
20000,19816,0,0
250000,52874,794,794
100000,37767,32904,2423
330000,46140,25358,1023
50000,35713,17484,1000
50000,50867,29998,2005
30000,29242,0,0
140000,101551,106828,3785
160000,70243,84426,12600
400000,19532,2486,2494
50000,27699,28538,1024
140000,1154,21361,21361
160000,8015,2210,2210
100000,62170,0,0
220000,210380,162402,6000
510000,78331,36739,25365
50000,49276,28309,1062
160000,4473,12652,12652
230000,2283,338,338
80000,10115,16872,16872
150000,6156,316,316
10000,6974,9411,0
130000,89003,27500,600
40000,34871,35673,1500
50000,13694,2614,2614
100000,70003,18126,1009
120000,1082,0,0
260000,0,0,0
200000,11253,11905,1200
360000,0,0,0
70000,68699,15085,3000
460000,171,22535,22545
50000,1156,316,316
50000,50859,19703,703
250000,103109,101299,5000
30000,1512,0,0
270000,127543,43414,43509
180000,163935,70204,3000
100000,53494,56265,3000
230000,195126,98457,4000
210000,110346,586,586
210000,60502,46549,2000
440000,180641,97622,4001
100000,70896,51365,1960
240000,8751,4311,1000
280000,898,-339603,0
50000,0,0,0
30000,1700,2566,600
10000,7015,10182,393
130000,0,0,0
200000,194353,133990,5141
120000,1686,1820,1820
210000,143225,131629,4544
280000,58983,30771,1100
300000,0,203,203
100000,99209,64513,2497
440000,0,0,162000
50000,49941,14458,1000
20000,11968,12510,1000
200000,871,7414,3500
110000,432,400,0
500000,10483,0,0
300000,0,0,0
30000,9720,14514,1500
60000,20847,11736,13557
400000,3697,2077,2386
180000,143301,132845,5000
20000,10934,14340,1500
200000,52439,59983,2286
100000,55734,6441,909
60000,49507,19346,2000
110000,47819,53652,2500
260000,0,485,485
50000,48522,24883,863
180000,-2,-2,0
110000,58362,47969,1854
340000,172180,103263,2732
50000,1399,8085,1306
230000,26361,6173,6173
360000,93029,100738,10000
210000,0,37056,3000
220000,650,325,325
60000,24898,30225,1300
340000,50396,7416,7416
150000,99855,109428,4200
200000,-179,16893,17000
130000,9559,12685,2700
60000,10540,31857,11540
400000,0,78388,78388
20000,20571,18868,674
190000,143464,160361,6370
260000,156882,159108,7000
140000,390,0,0
50000,46512,29170,1046
120000,882,830,3800
240000,92,0,0
50000,5916,978,0
200000,2393,24248,0
180000,274731,1005,101005
180000,145403,106517,4250
160000,3097,1654,1500
100000,1370,3980,2000
50000,47081,41145,2000
140000,138119,142174,6000
30000,17893,19844,715
90000,39128,23101,23101
200000,-14386,1386,100000
380000,0,0,0
80000,77057,19414,695
50000,15899,18856,634
180000,27679,31127,1500
240000,141315,103360,3825
380000,194314,169121,5000
110000,83755,84462,3500
260000,49657,291,291
500000,507726,419643,16000
320000,71305,74610,2781
50000,45734,25775,1275
110000,0,216,216
230000,761,613,613
330000,-9,8676,8676
50000,47166,24774,2000
10000,2887,2132,150
300000,0,0,0
20000,20631,10985,632
180000,83538,0,0
160000,99,21712,29712
90000,34302,48767,0
30000,22987,25943,2000
180000,173267,178719,160719
30000,19143,22437,1000
30000,20518,24242,0
140000,10833,3745,5500
210000,69937,49888,3000
50000,20526,12487,3000
130000,89055,75355,2701
50000,1894,2415,500
140000,100594,88450,3400
170000,2948,5889,500
80000,22619,0,0
410000,338106,240176,9000
80000,0,0,0
80000,63144,75018,3500
150000,153249,157759,5700
260000,1131,291,130291
350000,0,0,0
280000,-1312,33316,1011
310000,103797,71620,3001
140000,20110,21085,2000
360000,38000,0,0
140000,142428,142620,6000
100000,40810,28947,579
50000,0,632,632
210000,104701,74125,2700
120000,120298,117167,0
240000,156362,184922,184922
60000,41322,29064,2541
150000,1464,822,0
30000,27879,26179,1089
160000,160432,153800,0
200000,3858,82150,85900
120000,26476,0,0
500000,507062,303510,14113
320000,55607,66541,16477
280000,168382,167983,5947
60000,29332,32965,1300
200000,190,-150,0
230000,0,3404,3404
230000,13668,5068,1000
480000,14867,22593,22593
50000,22500,0,0
200000,7184,160,160
50000,14811,18990,0
50000,44338,19548,2000
260000,0,0,0
30000,25265,29371,0
440000,169661,151936,6028
230000,10237,0,0
200000,104978,105253,9000
490000,192586,190306,6429
80000,11262,0,0
20000,9551,16414,1500
170000,199,199,199
70000,70119,29795,1327
210000,212601,66167,3000
90000,91894,77648,3000
390000,304867,281826,10512
110000,48123,53206,2057
580000,159760,167964,5894
360000,9210,0,0
270000,234752,221413,8000
60000,14072,150,150
110000,61807,60145,2300
50000,51044,20859,800
80000,77024,47110,1800
50000,350,12584,485
100000,83831,89522,0
30000,0,2995,2995
200000,122923,124793,10033
240000,246135,198857,8000
220000,37304,15602,600
160000,146433,83988,2500
180000,46122,1599,1599
200000,38564,0,0
140000,96304,58880,2300
380000,0,0,0
600000,467150,434715,21000
260000,255691,131074,6000
200000,156786,871,871
80000,78129,48443,1800
40000,40034,5315,5315
130000,71034,75820,0
50000,23974,0,0
230000,819,9130,9130
70000,50927,6400,6400
180000,152510,126219,5000
80000,1689,7868,7868
290000,20807,1448,1148
230000,30141,96116,5882
170000,0,150,150
230000,208459,191671,6844
220000,212795,165300,6000
230000,28114,19831,620
500000,59372,51481,5078
90000,6160,670,670
390000,355215,263018,10000
400000,366193,155182,6061
180000,2927,1382,1382
60000,29295,35002,1500
120000,4158,5930,5930
60000,27199,23159,1000
50000,50893,29638,1166
70000,66759,50809,1985
500000,600,450,300
200000,0,0,0
250000,44930,919,0
140000,131367,130271,5300
70000,41264,4162,0
90000,77604,59378,1500
100000,2491,2562,2562
190000,177554,117465,4027
230000,6865,6992,6992
320000,93768,95323,6080
220000,396,396,396
260000,16426,2514,2646
90000,573,0,0
30000,28703,19633,900
260000,98560,69174,2003
170000,28304,0,0
80000,8574,10490,294
50000,508,320,640
200000,203183,198717,8000
20000,16440,19664,1113
250000,66,1639,1645
20000,15912,19933,800
